COURSE (TRILHA),NOME DA AULA,SINOPSE,LINK DA AULA,AULAS BÁSICAS,AULAS OBRIGATÓRIAS,EXCLUSIVO PRO
Aulas Complementares do Máquina de Reuniões,Instalando n8n / Evolution API,Passo a passo para instalar e configurar o n8n e a Evolution API em seu servidor.,https://app.agenze.io/c/aulas/sections/896260/lessons/3395311,FALSE,TRUE,FALSE
Aulas Complementares do Máquina de Reuniões,Importando o Template,Como importar corretamente o template do Máquina de Reuniões no n8n.,https://app.agenze.io/c/aulas/sections/896260/lessons/3395291,FALSE,TRUE,FALSE
Aulas Complementares do Máquina de Reuniões,Credencial - OpenAI,Como criar e integrar as credenciais da OpenAI no n8n para usar modelos de linguagem.,https://app.agenze.io/c/aulas/sections/896260/lessons/3395289,FALSE,TRUE,FALSE
Aulas Complementares do Máquina de Reuniões,Credencial - APIFY,Como configurar e conectar as credenciais do APIFY ao fluxo do n8n.,https://app.agenze.io/c/aulas/sections/896260/lessons/3395328,FALSE,TRUE,FALSE
Aulas Complementares do Máquina de Reuniões,Credencial - Redis,Configuração do Redis como banco de dados de memória para os agentes de IA no n8n.,https://app.agenze.io/c/aulas/sections/896260/lessons/3395286,FALSE,TRUE,FALSE
Aulas Complementares do Máquina de Reuniões,Credencial / Banco de Dados - Supabase,Integração do Supabase como banco de dados principal no fluxo do Máquina de Reuniões.,https://app.agenze.io/c/aulas/sections/896260/lessons/3395281,FALSE,TRUE,FALSE
Aulas Complementares do Máquina de Reuniões,Credenciais - Google,"Configuração das APIs e credenciais do Google (Drive, Calendar) para uso no n8n.",https://app.agenze.io/c/aulas/sections/896260/lessons/3395277,FALSE,TRUE,FALSE
Aulas Complementares do Máquina de Reuniões,Review do Fluxo,Revisão detalhada de cada nó do fluxo do Máquina de Reuniões e suas funções.,https://app.agenze.io/c/aulas/sections/896260/lessons/3395298,FALSE,TRUE,FALSE
Aulas Complementares do Máquina de Reuniões,Conectar ao Review do Fluxo,Como conectar e validar a integração do fluxo com todos os serviços configurados.,https://app.agenze.io/c/aulas/sections/896260/lessons/3395321,FALSE,TRUE,FALSE
Aulas Complementares do Máquina de Reuniões,Acesse o Checklist,Checklist completo de configurações e validações necessárias para o sistema funcionar.,https://app.agenze.io/c/aulas/sections/898178/lessons/3402635,FALSE,TRUE,FALSE
Aulas Complementares do Máquina de Reuniões,Implementação Guiada 05/03,Gravação da sessão de implementação ao vivo com suporte e resolução de dúvidas em tempo real.,https://app.agenze.io/c/aulas/sections/926074/lessons/3560720,FALSE,TRUE,FALSE
Replay Máquina de Reuniões ao Vivo,Assista a Gravação aqui 02:39:35,Gravação completa (2h39) do evento ao vivo de lançamento do Máquina de Reuniões.,https://app.agenze.io/c/replay-maquina-de-reunioes-ao-vivo/sections/899722/lessons/3408117,FALSE,TRUE,FALSE
Template e Materiais,Baixe o Template Aqui,Download do template principal do Máquina de Reuniões para importar no n8n.,https://app.agenze.io/c/template-e-materiais/sections/898184/lessons/3402663,FALSE,TRUE,FALSE
Template e Materiais,Acesse o Checklist,Checklist de recursos e tarefas de apoio para a implementação completa do sistema.,https://app.agenze.io/c/template-e-materiais/sections/898186/lessons/3402671,FALSE,TRUE,FALSE
Trilha Pinterest ADS,Anunciando no Pinterest com ROI de 20x,Estratégias e configurações para criar campanhas lucrativas no Pinterest Ads com ROI de 20x.,https://app.agenze.io/c/trilha-pinterest/sections/911704/lessons/3453937,TRUE,FALSE,FALSE
Trilha Pinterest ADS,Aula Bônus: Como trabalhar o branding no Pinterest para vender mais,Como usar branding e conteúdo no Pinterest para potencializar o alcance e as vendas.,https://app.agenze.io/c/trilha-pinterest/sections/911704/lessons/3453962,TRUE,FALSE,FALSE
Escala de Agência,"Como Estruturar Planos, Trilhas e Comissionamento","Modelo de planos de carreira, trilhas de crescimento e comissionamento para equipes de agência.",https://app.agenze.io/c/escala-de-agencia/sections/925403/lessons/3507360,FALSE,FALSE,FALSE
Trilha Sucesso do Cliente,"Gestão de Crise - atendimento, retenção e LTV","Técnicas para gerenciar crises, reter clientes insatisfeitos e aumentar o LTV da base.",https://app.agenze.io/c/trilha-sucesso-do-cliente/sections/926161/lessons/3511442,FALSE,FALSE,FALSE
Trilha Sucesso do Cliente,Passagem de Bastão Comercial --> Operacional (+ Onboarding com Cliente),Como estruturar a passagem do comercial para o operacional com onboarding eficiente do cliente.,https://app.agenze.io/c/trilha-sucesso-do-cliente/sections/926161/lessons/3511466,FALSE,FALSE,FALSE
Trilha Monetização da Base,Aumentando Ticket com Serviço de SEO,Como oferecer SEO como serviço complementar para aumentar o ticket médio com clientes atuais.,https://app.agenze.io/c/trilha-monetizacao-da-base-dd0850/sections/924431/lessons/3503730,FALSE,FALSE,FALSE
Trilha Meta Andromeda,O que é e como funciona o Andromeda,"Apresentação do Método Andrômeda: conceito, lógica e aplicação prática no Meta ADS.",https://app.agenze.io/c/trilha-meta-andromeda/sections/886790/lessons/3453965,FALSE,TRUE,FALSE
Trilha Meta Andromeda,Método Andrômeda,Implementação completa do Método Andrômeda para escalar resultados nas campanhas do Meta.,https://app.agenze.io/c/trilha-meta-andromeda/sections/886790/lessons/3536935,FALSE,TRUE,FALSE
Trilha Agência Automatizada,Agentes GPT aplicados à Gestão de Tráfego,Como usar agentes GPT para automatizar análises e otimizações de campanhas de tráfego.,https://app.agenze.io/c/trilha-ia-aplicada-a-gestao-de-trafego/sections/886781/lessons/3358240,FALSE,FALSE,FALSE
Trilha Agência Automatizada,Aulão Estratégico Tráfego com IA,Aula estratégica completa sobre como potencializar tráfego pago com inteligência artificial.,https://app.agenze.io/c/trilha-ia-aplicada-a-gestao-de-trafego/sections/886781/lessons/3358242,FALSE,FALSE,FALSE
Trilha Agência Automatizada,Como Transformo uma Reunião em Uma Proposta Irresistível em 30 Minutos,Método para transformar reuniões em propostas comerciais irresistíveis usando IA em 30 min.,https://app.agenze.io/c/trilha-ia-aplicada-a-gestao-de-trafego/sections/886781/lessons/3358244,FALSE,FALSE,FALSE
Trilha Agência Automatizada,Criativos para Anúncios com IA,Como criar e otimizar criativos para anúncios usando ferramentas de inteligência artificial.,https://app.agenze.io/c/trilha-ia-aplicada-a-gestao-de-trafego/sections/886781/lessons/3358247,FALSE,FALSE,FALSE
Trilha Agência Automatizada,Geração de Criativos com IA - (com Bruno Gabarra),Workshop com especialista sobre geração de criativos de alta conversão usando IA.,https://app.agenze.io/c/trilha-ia-aplicada-a-gestao-de-trafego/sections/886781/lessons/3358250,FALSE,FALSE,FALSE
Trilha Agência Automatizada,IA para Gravação e Transcrição de Reuniões + Playbook de ATA,"Ferramentas de IA para gravar, transcrever reuniões e gerar ATAs profissionais automaticamente.",https://app.agenze.io/c/trilha-ia-aplicada-a-gestao-de-trafego/sections/886781/lessons/3358252,FALSE,FALSE,FALSE
Trilha Agência Automatizada,Introdução,Visão geral da Trilha Agência Automatizada e o que será abordado em cada módulo.,https://app.agenze.io/c/trilha-ia-aplicada-a-gestao-de-trafego/sections/886781/lessons/3358256,FALSE,FALSE,FALSE
Trilha Agência Automatizada,Modelo Ideal de IA no ChatGPT,Como configurar o modelo ideal de IA no ChatGPT para uso na gestão de tráfego.,https://app.agenze.io/c/trilha-ia-aplicada-a-gestao-de-trafego/sections/886781/lessons/3358260,FALSE,FALSE,FALSE
Trilha Agência Automatizada,Os 4 Pilares da Gestão de Tráfego com IA,Os quatro fundamentos para integrar IA de forma eficaz na rotina de gestão de tráfego pago.,https://app.agenze.io/c/trilha-ia-aplicada-a-gestao-de-trafego/sections/886781/lessons/3358262,FALSE,FALSE,FALSE
Trilha Agência Automatizada,Otimização de Campanha na Prática com IA,Processo prático de otimização de campanhas com suporte de análise por inteligência artificial.,https://app.agenze.io/c/trilha-ia-aplicada-a-gestao-de-trafego/sections/886781/lessons/3358264,FALSE,FALSE,FALSE
Trilha Aquisição de Clientes,Funil Social Selling (com Aluno Matheus Foletto),Caso real: como usar social selling para fechar clientes de gestão de tráfego do zero.,https://app.agenze.io/c/trilha-aquisicao-de-clientes/sections/926104/lessons/3511140,FALSE,TRUE,FALSE
Trilha Aquisição de Clientes,De 9k para 80k/mês em 2 anos (com aluno Gabriel Werneck),Jornada de crescimento de R$9k para R$80k/mês em 2 anos com estratégias de aquisição.,https://app.agenze.io/c/trilha-aquisicao-de-clientes/sections/926104/lessons/3511392,FALSE,TRUE,FALSE
Trilha Aquisição de Clientes,"Social Selling na Operação — Como vender mais, gastando menos",Como implementar social selling na operação para vender mais gastando menos.,https://app.agenze.io/c/trilha-aquisicao-de-clientes/sections/926104/lessons/3511402,FALSE,TRUE,FALSE
Trilha Conceitos e Pilares do Marketing Digital,Glossário do Marketing Digital,Definições dos principais termos e conceitos utilizados no marketing digital.,https://app.agenze.io/c/trilha-conceitos-e-pilares-do-marketing-digital/sections/886756/lessons/3358161,TRUE,FALSE,FALSE
Trilha Conceitos e Pilares do Marketing Digital,Marketing Digital não é Tráfego Pago,Visão ampla do marketing digital e como o tráfego pago se encaixa no ecossistema.,https://app.agenze.io/c/trilha-conceitos-e-pilares-do-marketing-digital/sections/886756/lessons/3358170,TRUE,FALSE,FALSE
Trilha Conceitos e Pilares do Marketing Digital,O que é Traqueamento,Conceito e importância do rastreamento de conversões para otimizar campanhas digitais.,https://app.agenze.io/c/trilha-conceitos-e-pilares-do-marketing-digital/sections/886756/lessons/3358172,TRUE,FALSE,FALSE
Trilha Conceitos e Pilares do Marketing Digital,O que são Métricas,As principais métricas do marketing digital e como interpretá-las para decisões assertivas.,https://app.agenze.io/c/trilha-conceitos-e-pilares-do-marketing-digital/sections/886756/lessons/3358174,TRUE,FALSE,FALSE
Trilha Conceitos e Pilares do Marketing Digital,Quais Fontes de Tráfego Existem e por Onde Começar,Panorama das fontes de tráfego disponíveis e critérios para escolher por onde começar.,https://app.agenze.io/c/trilha-conceitos-e-pilares-do-marketing-digital/sections/886756/lessons/3358178,TRUE,FALSE,FALSE
Trilha Copy Persuasiva para anúncios vencedores,Big Idea,Como encontrar e desenvolver a grande ideia central que torna um anúncio irresistível.,https://app.agenze.io/c/trilha-copy-persuasiva-para-anuncios-vencedores/sections/886733/lessons/3358114,FALSE,FALSE,FALSE
Trilha Copy Persuasiva para anúncios vencedores,Cérebro Trino,Como o neuromarketing e o cérebro trino influenciam a decisão de compra do consumidor.,https://app.agenze.io/c/trilha-copy-persuasiva-para-anuncios-vencedores/sections/886733/lessons/3358119,FALSE,FALSE,FALSE
Trilha Copy Persuasiva para anúncios vencedores,Fear x Greed,Como usar medo e ganância como gatilhos emocionais para aumentar conversão em anúncios.,https://app.agenze.io/c/trilha-copy-persuasiva-para-anuncios-vencedores/sections/886733/lessons/3358122,FALSE,FALSE,FALSE
Trilha Copy Persuasiva para anúncios vencedores,Funil x Marketing Direto,Diferenças e aplicações do funil de vendas versus marketing direto em anúncios pagos.,https://app.agenze.io/c/trilha-copy-persuasiva-para-anuncios-vencedores/sections/886733/lessons/3358127,FALSE,FALSE,FALSE
Trilha Copy Persuasiva para anúncios vencedores,Gatilhos Mentais,Os principais gatilhos mentais e como aplicá-los em copies de anúncios para vender mais.,https://app.agenze.io/c/trilha-copy-persuasiva-para-anuncios-vencedores/sections/886733/lessons/3358133,FALSE,FALSE,FALSE
Trilha Copy Persuasiva para anúncios vencedores,Headlines Matadoras,Técnicas para criar títulos e manchetes que capturam atenção e geram cliques nos anúncios.,https://app.agenze.io/c/trilha-copy-persuasiva-para-anuncios-vencedores/sections/886733/lessons/3358137,FALSE,FALSE,FALSE
Trilha Copy Persuasiva para anúncios vencedores,Mecanismo Único,Como criar e comunicar um diferencial único que posiciona sua oferta acima da concorrência.,https://app.agenze.io/c/trilha-copy-persuasiva-para-anuncios-vencedores/sections/886733/lessons/3358143,FALSE,FALSE,FALSE
Trilha Copy Persuasiva para anúncios vencedores,Níveis de Consciência,Como adaptar a copy para cada nível de consciência do público-alvo e aumentar conversões.,https://app.agenze.io/c/trilha-copy-persuasiva-para-anuncios-vencedores/sections/886733/lessons/3358145,FALSE,FALSE,FALSE
Trilha Copy Persuasiva para anúncios vencedores,O que é copywriting,Fundamentos do copywriting e sua importância na criação de anúncios persuasivos e eficazes.,https://app.agenze.io/c/trilha-copy-persuasiva-para-anuncios-vencedores/sections/886733/lessons/3358147,FALSE,FALSE,FALSE
Trilha Copy Persuasiva para anúncios vencedores,Quebra de Objeções,Técnicas para antecipar e neutralizar as principais objeções do cliente dentro do anúncio.,https://app.agenze.io/c/trilha-copy-persuasiva-para-anuncios-vencedores/sections/886733/lessons/3358149,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Introdução aos GPTs - O que são e como Utilizá-los.,Conceito de GPTs personalizados e como criar e usar agentes de IA no ChatGPT.,https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358053,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Árvore de Pensamentos (ToT) Expansão de Ideias em Prompt,Técnica Tree of Thought para criar prompts que expandem e exploram ideias complexas.,https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358056,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Cadeia de Pensamento (CoT) Estimulando Respostas Elaboradas,Como usar Chain of Thought para induzir a IA a raciocinar passo a passo nas respostas.,https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358061,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Como Estruturar Prompts Eficazes para GPTs,Estrutura e boas práticas para criar prompts que geram resultados consistentes e precisos.,https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358070,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Compreendendo Tokens,"O que são tokens, como funcionam e como otimizar seu uso para melhores resultados na IA.",https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358072,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Configurando seu GPT Passo a Passo,"Tutorial completo para criar, configurar e publicar um GPT personalizado no ChatGPT.",https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358075,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Fundamentos da Engenharia de Prompt,Princípios básicos da engenharia de prompt para maximizar a qualidade das respostas da IA.,https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358077,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Instruções Personalizadas vs GPTs,Quando usar instruções personalizadas e quando criar um GPT customizado para cada tarefa.,https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358081,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Marketing Digital Moderno,Como aplicar IA e engenharia de prompt nas estratégias de marketing digital moderno.,https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358084,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,O que é IA,Conceitos fundamentais de inteligência artificial e como ela funciona de forma acessível.,https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358088,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Termos Essenciais da Engenharia de Prompt,Glossário dos termos essenciais para quem quer dominar a engenharia de prompt.,https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358092,FALSE,FALSE,FALSE
Trilha Engenharia de Prompt com Head de IA da Agência Rei,Zero-Shot e Few-Shot,Técnicas zero-shot e few-shot learning para obter melhores respostas com ou sem exemplos.,https://app.agenze.io/c/trilha-engenharia-de-prompt-com-head-de-ia-da-agencia-rei/sections/886717/lessons/3358100,FALSE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Aquecendo sua Conta de Anúncio e Motivos que podem te Bloquear no Facebook ADS,Como aquecer uma conta nova e evitar os principais motivos de bloqueio no Meta ADS.,https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3357981,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Como Criar um Catálogo de Produtos no Facebook,Passo a passo para criar e configurar catálogos de produtos no Gerenciador do Meta.,https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3357987,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Como Fazer Tráfego em 2026,Panorama das melhores estratégias e abordagens para tráfego pago em 2026.,https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3357992,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Como o seu Cliente compartilha acesso aos ativos com você,"Tutorial de como receber acesso a contas, páginas, pixels e catálogos de clientes no Meta.",https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3357995,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Conferindo o Rastreamento de Eventos,Como verificar e validar se os eventos de conversão estão sendo rastreados corretamente.,https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3358001,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Contingência para Evitar dor de Cabeça,Estratégias e backups essenciais para evitar crises com bloqueios na conta de anúncio.,https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3358005,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Criação de Perfil e BM no Meta (Facebook) ADS,Como criar perfil pessoal e Business Manager corretamente no Meta para gestão de clientes.,https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3358010,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Criação e Acesso de Página no Facebook,Como criar e gerenciar páginas no Facebook para uso em campanhas de anúncios pagos.,https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3358015,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Links Úteis para Falar Diretamente com o Suporte do Facebook,Compilado de links diretos para contato com o suporte do Meta em diferentes situações.,https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3358019,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Mapa Mental Estrutura do Meta (Facebook ADS),Mapa visual completo da estrutura do Gerenciador de Anúncios do Meta ADS.,https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3358023,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Os 3 Níveis de uma Conta de Anúncio,"Entendendo os três níveis: campanha, conjunto de anúncios e anúncio no Meta ADS.",https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3358026,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Passo a Passo para Criar o Pixel do Facebook,"Como criar, instalar e configurar o Pixel do Meta para rastrear conversões com precisão.",https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3358029,TRUE,FALSE,FALSE
Trilha Meta ADS (Facebook ADS) - O Início,Passo a Passo para Criar sua Primeira Conta de Anúncio,Tutorial completo para criar e configurar do zero uma conta de anúncio no Meta ADS.,https://app.agenze.io/c/trilha-meta-ads-facebook-ads-o-inicio/sections/886702/lessons/3358035,TRUE,FALSE,FALSE
Trilha Google ADS,80/20 do Google ADS para E-commerce - Campanhas de PMax parte 1,Fundamentos e configuração inicial de campanhas Performance Max para e-commerce no Google.,https://app.agenze.io/c/trilha-google-ads/sections/886672/lessons/3357949,FALSE,FALSE,FALSE
Trilha Google ADS,80/20 do Google ADS para E-commerce - Campanhas de PMax parte 2,Otimização e estratégias intermediárias para escalar campanhas PMax no Google ADS.,https://app.agenze.io/c/trilha-google-ads/sections/886672/lessons/3357950,FALSE,FALSE,FALSE
Trilha Google ADS,80/20 do Google ADS para E-commerce - Campanhas de PMax parte 3,Análise de dados e ajustes avançados em campanhas Performance Max de e-commerce.,https://app.agenze.io/c/trilha-google-ads/sections/886672/lessons/3357955,FALSE,FALSE,FALSE
Trilha Google ADS,80/20 do Google ADS para E-commerce - Campanhas de PMax parte 4,Táticas avançadas para maximizar o ROAS em campanhas PMax de lojas virtuais.,https://app.agenze.io/c/trilha-google-ads/sections/886672/lessons/3357960,FALSE,FALSE,FALSE
Trilha Google ADS,Setup Inicial de Configuração de Google ADS para E-commerce,Como criar e configurar do zero uma conta de Google ADS otimizada para e-commerce.,https://app.agenze.io/c/trilha-google-ads/sections/886672/lessons/3357966,FALSE,FALSE,FALSE
Trilha Tráfego para E-commerce,4 Pilares do Sucesso do seu E-commerce na Black Friday,Estratégias essenciais de tráfego para maximizar resultados de e-commerce na Black Friday.,https://app.agenze.io/c/trilha-trafego-para-e-commerce/sections/886643/lessons/3357851,FALSE,FALSE,FALSE
Trilha Tráfego para E-commerce,Análise Avançada de Dados para E-commerce,Como interpretar e usar dados avançados para otimizar campanhas de e-commerce.,https://app.agenze.io/c/trilha-trafego-para-e-commerce/sections/886643/lessons/3357856,FALSE,FALSE,FALSE
Trilha Tráfego para E-commerce,CRM para E-commerce - Aumentando o LTV,Uso de CRM para aumentar o valor do tempo de vida do cliente em lojas virtuais.,https://app.agenze.io/c/trilha-trafego-para-e-commerce/sections/886643/lessons/3357858,FALSE,FALSE,FALSE
Trilha Tráfego para E-commerce,Masterclass E-commerce do Zero à Escala,Aula completa de estratégia de tráfego para e-commerce do zero à escala.,https://app.agenze.io/c/trilha-trafego-para-e-commerce/sections/886643/lessons/3357860,FALSE,FALSE,FALSE
Trilha Tráfego para E-commerce,Trackeamento e Funil de Conversão para E-commerce,Como rastrear o funil completo de conversão e otimizar cada etapa no e-commerce.,https://app.agenze.io/c/trilha-trafego-para-e-commerce/sections/886643/lessons/3357863,FALSE,FALSE,FALSE
Trilha Automações Aplicada à Gestão de Tráfego,Aula 1,Introdução às automações com n8n aplicadas à rotina de gestão de tráfego pago.,https://app.agenze.io/c/trilha-automacoes-aplicada-a-gestao-de-trafego/sections/886030/lessons/3355557,FALSE,FALSE,FALSE
Trilha Automações Aplicada à Gestão de Tráfego,Aula 2,Criação dos primeiros fluxos de automação para otimizar processos de tráfego com n8n.,https://app.agenze.io/c/trilha-automacoes-aplicada-a-gestao-de-trafego/sections/886030/lessons/3357795,FALSE,FALSE,FALSE
Trilha Automações Aplicada à Gestão de Tráfego,Domine o Fluxo de Vendas: Importando e Analisando o Template de Agente Autônomo para WhatsApp (n8n),Como importar e usar o template de agente autônomo para WhatsApp no n8n.,https://app.agenze.io/c/trilha-automacoes-aplicada-a-gestao-de-trafego/sections/886030/lessons/3357800,FALSE,FALSE,FALSE
Trilha Automações Aplicada à Gestão de Tráfego,Introdução,Visão geral da trilha de automações e das ferramentas que serão utilizadas no curso.,https://app.agenze.io/c/trilha-automacoes-aplicada-a-gestao-de-trafego/sections/886030/lessons/3357802,FALSE,FALSE,FALSE
Trilha Automações Aplicada à Gestão de Tráfego,Monitor Automático de Saldo do Meta Ads,Automação para monitorar saldo de contas Meta ADS e enviar alertas automáticos.,https://app.agenze.io/c/trilha-automacoes-aplicada-a-gestao-de-trafego/sections/886030/lessons/3357806,FALSE,FALSE,FALSE
Trilha Automações Aplicada à Gestão de Tráfego,Monitor de Campanhas Meta - WhatsApp,Automação que envia resumo de performance de campanhas do Meta diretamente pelo WhatsApp.,https://app.agenze.io/c/trilha-automacoes-aplicada-a-gestao-de-trafego/sections/886030/lessons/3357809,FALSE,FALSE,FALSE
Trilha Automações Aplicada à Gestão de Tráfego,Relatório Inteligente do Facebook Ads,Geração automática de relatórios inteligentes com dados das campanhas do Facebook Ads.,https://app.agenze.io/c/trilha-automacoes-aplicada-a-gestao-de-trafego/sections/886030/lessons/3357811,FALSE,FALSE,FALSE
